slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
28,True,True,True,525,375,260,150,0.9035,1.0,0.8637,1.41,0.6897,2.0,0.2652,7.0,0.8975,1.0,0.8749,1.41,0.7,2.0,0.2444,7.0,0.9035,1.0,0.8637,1.41,0.6897,2.0,0.2652,7.0
29,True,True,True,525,357,251,168,0.8714,2.0,0.8768,1.41,0.7082,2.24,0.2279,6.4,0.8583,2.83,0.8911,1.0,0.7215,2.0,0.1934,7.04,0.8714,2.0,0.8768,1.41,0.7082,2.24,0.2279,6.4
30,True,True,True,495,340,246,155,0.8433,3.61,0.8975,1.0,0.7397,1.53,0.159,7.62,0.8381,4.12,0.8969,1.0,0.7381,2.0,0.153,8.0,0.8433,3.61,0.8975,1.0,0.7397,1.53,0.159,7.62
31,True,True,True,478,320,254,158,0.8549,2.24,0.8457,2.24,0.7347,2.24,0.2407,6.4,0.8446,3.61,0.8712,1.41,0.759,2.0,0.2007,7.05,0.8549,2.24,0.8457,2.24,0.7347,2.24,0.2407,6.4
32,True,True,True,435,294,243,141,0.8298,3.49,0.8284,2.71,0.737,2.83,0.2138,6.71,0.8311,3.16,0.8415,2.24,0.7496,2.24,0.2033,6.71,0.8298,3.49,0.8284,2.71,0.737,2.83,0.2138,6.71
33,True,True,True,398,262,217,136,0.8102,4.0,0.8529,2.0,0.7619,2.24,0.1728,7.95,0.8055,5.0,0.8788,1.0,0.7869,2.0,0.141,8.25,0.8102,4.0,0.8529,2.0,0.7619,2.24,0.1728,7.95
34,True,True,True,368,225,182,143,0.7477,7.0,0.8699,1.41,0.7669,2.0,0.1016,8.14,0.7496,7.5,0.8984,1.0,0.7929,1.77,0.0829,9.0,0.7477,7.0,0.8699,1.41,0.7669,2.0,0.1016,8.14
35,True,True,True,310,195,160,115,0.7477,6.71,0.8785,1.0,0.7786,2.0,0.0862,8.06,0.7514,7.13,0.8905,1.0,0.7896,2.0,0.0824,8.95,0.7477,6.71,0.8785,1.0,0.7786,2.0,0.0862,8.06
36,True,True,True,292,158,131,134,0.7243,7.1,0.8705,1.37,0.7798,1.41,0.1298,8.06,0.7208,8.0,0.896,1.0,0.8025,1.04,0.1118,8.98,0.7243,7.1,0.8705,1.37,0.7798,1.41,0.1298,8.06
37,True,True,True,235,126,122,109,0.7358,5.62,0.8,3.72,0.7846,3.8,0.2013,6.32,0.7346,5.83,0.8051,3.61,0.7896,3.61,0.1959,7.0,0.7358,5.62,0.8,3.72,0.7846,3.8,0.2013,6.32
