slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
36,True,True,True,292,158,131,134,0.2567,14.76,0.1476,21.84,0.1239,21.93,0.1266,14.87,0.2723,13.6,0.1571,21.02,0.1321,21.02,0.1349,13.89,0.2567,14.76,0.1476,21.84,0.1239,21.93,0.1266,14.87
37,True,True,True,235,126,122,109,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
38,True,True,True,191,106,106,85,0.2611,9.9,0.1538,17.12,0.1538,17.12,0.1253,10.0,0.2823,8.94,0.1672,16.53,0.1672,16.53,0.1363,8.94,0.2611,9.9,0.1538,17.12,0.1538,17.12,0.1253,10.0
39,True,True,True,128,57,57,71,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
40,True,True,True,93,20,20,73,0.3394,4.24,0.0842,13.36,0.0842,13.36,0.2765,4.24,0.3727,3.61,0.0939,12.33,0.0939,12.33,0.3048,3.61,0.3394,4.24,0.0842,13.36,0.0842,13.36,0.2765,4.24
41,True,True,True,55,2,2,53,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf
42,True,False,False,35,0,0,35,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf
43,True,False,False,35,0,0,35,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf
44,True,False,False,88,0,0,88,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf
45,True,False,False,75,0,0,75,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf
46,True,False,False,84,0,0,84,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf,0.0,inf,1.0,inf,1.0,inf,0.0,inf
47,True,False,False,76,0,0,76,0.7343,2.24,0.0,inf,0.0,inf,0.7343,2.24,0.8444,1.0,0.0,inf,0.0,inf,0.8444,1.0,0.7343,2.24,0.0,inf,0.0,inf,0.7343,2.24
48,True,False,False,86,0,0,86,0.6143,3.0,0.0,inf,0.0,inf,0.6143,3.0,0.6908,2.14,0.0,inf,0.0,inf,0.6908,2.14,0.6143,3.0,0.0,inf,0.0,inf,0.6143,3.0
49,True,False,False,81,0,0,81,0.7606,2.0,0.0,inf,0.0,inf,0.7606,2.0,0.8757,1.0,0.0,inf,0.0,inf,0.8757,1.0,0.7606,2.0,0.0,inf,0.0,inf,0.7606,2.0
